GEOID,variable,Chinese,Korean,Spanish,Tagalog,Vietnamese
06001400100,C16001_005,NA,NA,0,NA,NA
06001400100,C16001_020,NA,49,NA,NA,NA
06001400100,C16001_023,44,NA,NA,NA,NA
06001400100,C16001_024,NA,NA,NA,NA,18
06001400100,C16001_029,NA,NA,NA,0,NA
06001400200,C16001_005,NA,NA,26,NA,NA
06001400200,C16001_020,NA,7,NA,NA,NA
06001400200,C16001_023,0,NA,NA,NA,NA
06001400200,C16001_024,NA,NA,NA,NA,0
06001400200,C16001_029,NA,NA,NA,0,NA
06001400300,C16001_005,NA,NA,104,NA,NA
06001400300,C16001_020,NA,0,NA,NA,NA
06001400300,C16001_023,32,NA,NA,NA,NA
06001400300,C16001_024,NA,NA,NA,NA,22
06001400300,C16001_029,NA,NA,NA,0,NA
06001400400,C16001_005,NA,NA,18,NA,NA
06001400400,C16001_020,NA,26,NA,NA,NA
06001400400,C16001_023,35,NA,NA,NA,NA
06001400400,C16001_024,NA,NA,NA,NA,0
06001400400,C16001_029,NA,NA,NA,0,NA
06001400500,C16001_005,NA,NA,86,NA,NA
06001400500,C16001_020,NA,0,NA,NA,NA
06001400500,C16001_023,43,NA,NA,NA,NA
06001400500,C16001_024,NA,NA,NA,NA,0
06001400500,C16001_029,NA,NA,NA,0,NA
06001400600,C16001_005,NA,NA,28,NA,NA
06001400600,C16001_020,NA,0,NA,NA,NA
06001400600,C16001_023,9,NA,NA,NA,NA
06001400600,C16001_024,NA,NA,NA,NA,35
06001400600,C16001_029,NA,NA,NA,0,NA
06001400700,C16001_005,NA,NA,304,NA,NA
06001400700,C16001_020,NA,0,NA,NA,NA
06001400700,C16001_023,0,NA,NA,NA,NA
06001400700,C16001_024,NA,NA,NA,NA,0
06001400700,C16001_029,NA,NA,NA,0,NA
06001400800,C16001_005,NA,NA,108,NA,NA
06001400800,C16001_020,NA,47,NA,NA,NA
06001400800,C16001_023,65,NA,NA,NA,NA
06001400800,C16001_024,NA,NA,NA,NA,38
06001400800,C16001_029,NA,NA,NA,0,NA
06001400900,C16001_005,NA,NA,106,NA,NA
06001400900,C16001_020,NA,0,NA,NA,NA
06001400900,C16001_023,10,NA,NA,NA,NA
06001400900,C16001_024,NA,NA,NA,NA,49
06001400900,C16001_029,NA,NA,NA,0,NA
06001401000,C16001_005,NA,NA,419,NA,NA
06001401000,C16001_020,NA,0,NA,NA,NA
06001401000,C16001_023,34,NA,NA,NA,NA
06001401000,C16001_024,NA,NA,NA,NA,19
06001401000,C16001_029,NA,NA,NA,0,NA
06001401100,C16001_005,NA,NA,88,NA,NA
06001401100,C16001_020,NA,0,NA,NA,NA
06001401100,C16001_023,132,NA,NA,NA,NA
06001401100,C16001_024,NA,NA,NA,NA,28
06001401100,C16001_029,NA,NA,NA,0,NA
06001401200,C16001_005,NA,NA,44,NA,NA
06001401200,C16001_020,NA,0,NA,NA,NA
