agency_name,all_stops,all_routes
AC Transit,4789,104
Alcatraz Hornblower Ferry,2,2
Altamont Corridor Express,10,NA
American Canyon Transit,19,NA
Angel Island Tiburon Ferry,2,NA
Bay Area Rapid Transit,48,6
Blue & Gold Fleet,5,3
Caltrain,64,6
Capitol Corridor Joint Powers Authority,19,2
Commute.org Shuttle,138,20
County Connection,1403,41
Dumbarton Express Consortium,88,2
Emery Go-Round,42,7
Fairfield and Suisun Transit,256,13
Golden Gate Ferry,4,3
Golden Gate Transit,654,28
Livermore Amador Valley Transit Authority,393,17
Marin Transit,586,28
Petaluma Transit,166,12
Rio Vista Delta Breeze,70,2
SamTrans,1909,72
San Francisco Bay Ferry,10,5
San Francisco Municipal Transportation Agency,3543,84
Santa Rosa CityBus,422,NA
SolTrans,445,16
Sonoma County Transit,1062,38
Sonoma Marin Area Rail Transit,16,1
Stanford Marguerite Shuttle,177,16
Tri Delta Transit,613,19
Union City Transit,215,9
Vacaville City Coach,101,6
Vine,234,12
VTA,3878,86
WestCat (Western Contra Costa),222,15
